2025-12-29 06:13:05 AM | DEBUG    | AI_Speaker_Engine | Extracting embedding for: D:\Affan\Blackbox AI\data\temp\enroll_1400725.wav
2025-12-29 06:13:06 AM | ERROR    | AI_Speaker_Engine | Failed to extract voice fingerprint: Error opening 'D:Affan\\Blackbox AI\\data\\temp\\enroll_1400725.wav': System error.
2025-12-29 06:13:06 AM | ERROR    | Enrollment_UI   | UI Error: Error opening 'D:Affan\\Blackbox AI\\data\\temp\\enroll_1400725.wav': System error.
2025-12-29 06:17:41 AM | INFO     | Audio_VAD       | Loading Silero VAD Neural Network...
2025-12-29 06:17:43 AM | INFO     | Audio_VAD       | Silero VAD Loaded Successfully.
2025-12-29 06:17:44 AM | INFO     | AI_Speaker_Engine | Initializing SpeechBrain Encoder (ECAPA-TDNN)...
2025-12-29 06:17:46 AM | INFO     | AI_Speaker_Engine | Speaker Engine loaded on: GPU (CUDA)
2025-12-29 06:17:58 AM | INFO     | Enrollment_UI   | Starting enrollment recording for Affan
2025-12-29 06:17:58 AM | INFO     | Audio_Capture   | Capture started at 2025-12-29 06:17:58 AM
2025-12-29 06:17:58 AM | INFO     | Audio_Capture   | Recording... target: D:\Affan\Blackbox AI\data\temp\enroll_1580027.wav
2025-12-29 06:18:43 AM | DEBUG    | Audio_Normalization | Normalization: Applying a gain of 1.19x to signal.
2025-12-29 06:18:45 AM | INFO     | Audio_VAD       | AI Analysis: 36.00s of human speech detected.
2025-12-29 06:18:45 AM | DEBUG    | AI_Speaker_Engine | Extracting embedding for: D:/Affan/Blackbox AI/data/temp/enroll_1580027.wav
2025-12-29 06:18:48 AM | ERROR    | AI_Speaker_Engine | Failed to extract voice fingerprint: too many values to unpack (expected 2)
2025-12-29 06:18:48 AM | ERROR    | Enrollment_UI   | UI Error: too many values to unpack (expected 2)
2025-12-29 06:26:49 AM | INFO     | Audio_VAD       | Loading Silero VAD Neural Network...
2025-12-29 06:26:50 AM | INFO     | Audio_VAD       | Silero VAD Loaded Successfully.
2025-12-29 06:26:51 AM | INFO     | AI_Speaker_Engine | Initializing SpeechBrain Encoder (ECAPA-TDNN)...
2025-12-29 06:26:53 AM | INFO     | AI_Speaker_Engine | Speaker Engine loaded on: GPU (CUDA)
2025-12-29 07:05:11 AM | INFO     | Enrollment_UI   | Starting enrollment recording for Affan
2025-12-29 07:05:11 AM | INFO     | Audio_Capture   | Capture started at 2025-12-29 07:05:11 AM
2025-12-29 07:05:11 AM | INFO     | Audio_Capture   | Recording... target: D:\Affan\Blackbox AI\data\temp\enroll_EMP-008221.wav
2025-12-29 07:05:56 AM | DEBUG    | Audio_Normalization | Normalization: Applying a gain of 1.45x to signal.
2025-12-29 07:05:57 AM | INFO     | Audio_VAD       | AI Analysis: 38.09s of human speech detected.
2025-12-29 07:05:57 AM | DEBUG    | AI_Speaker_Engine | Extracting embedding for: D:/Affan/Blackbox AI/data/temp/enroll_EMP-008221.wav
2025-12-29 07:06:02 AM | INFO     | Database        | Successfully enrolled user: Affan | ID: 1
2025-12-29 07:06:02 AM | INFO     | Enrollment_UI   | User Affan enrolled successfully.
2025-12-29 07:28:36 AM | INFO     | AI_Speaker_Engine | Initializing SpeechBrain Encoder (ECAPA-TDNN)...
2025-12-29 07:28:38 AM | INFO     | AI_Speaker_Engine | Speaker Engine loaded on: GPU (CUDA)
2025-12-29 07:28:42 AM | INFO     | Audio_Capture   | Capture started at 2025-12-29 07:28:42 AM
2025-12-29 07:28:42 AM | INFO     | Audio_Capture   | Recording... target: data\temp\auth_attempt.wav
2025-12-29 07:29:27 AM | DEBUG    | AI_Speaker_Engine | Extracting embedding for: D:/Affan/Blackbox AI/data/temp/auth_attempt.wav
2025-12-29 07:29:29 AM | INFO     | Auth_UI         | Auth Attempt: Closest match Affan with distance 0.0804
2026-01-06 08:17:40 AM | INFO     | AI_Speaker_Engine | Initializing SpeechBrain Encoder (ECAPA-TDNN)...
2026-01-06 08:17:43 AM | INFO     | AI_Speaker_Engine | Speaker Engine loaded on: GPU (CUDA)
2026-01-06 08:17:44 AM | INFO     | AI_Transcriber  | Loading Whisper Model (medium) on cuda...
2026-01-06 08:32:58 AM | INFO     | AI_Transcriber  | Whisper Model loaded successfully.
2026-01-06 08:33:53 AM | INFO     | Audio_Capture   | Capture started at 2026-01-06 08:33:53 AM
2026-01-06 08:33:53 AM | INFO     | Audio_Capture   | Recording... target: data\temp\cli_ingest.wav
